seed,method_id,method,episodes,collision_count,out_of_road_count,goal_count,max_step_count,total_steps,collision_rmst_steps,collision_rate,collisions_per_1000_steps,combined_safety_failure_rate,goal_rate,max_step_completion_rate,mean_episode_steps,source_file,source_sha256,source_status
3,epsilon,Epsilon-Greedy,300,155,165,1,0,23475,91.98413376674165,0.5166666666666667,6.602768903088392,0.9966666666666667,0.0033333333333333335,0.0,78.25,04_data/raw/baselines/seed_3/epsilon/all_episode_results.csv,0f3f60b6f43fe116438fcfd0fe0a647bf1186d42c9360ca2e5a54fc264e0f5ec,original_23_seed_archive
3,noisy,NoisyNet DQN,300,76,268,0,0,7148,57.19618311323093,0.25333333333333335,10.632344711807498,1.0,0.0,0.0,23.826666666666668,04_data/raw/baselines/seed_3/noisy/all_episode_results.csv,b299ac2c75b6da406dce16ce7c04c9955abea1dbe84013a81d1a33dea00146ed,original_23_seed_archive
3,rnd,DQN + RND,300,160,164,1,0,23246,90.55821568383018,0.5333333333333333,6.88290458573518,0.9966666666666667,0.0033333333333333335,0.0,77.48666666666666,04_data/raw/baselines/seed_3/rnd/all_episode_results.csv,177662d9e8f515bce3616ae7bb0ff9167b78bcd230992e0347eec7a74e64e2ff,original_23_seed_archive
3,safetypool,SafetyPool,300,133,185,1,11,27711,175.7489155191007,0.44333333333333336,4.79953808956732,0.96,0.0033333333333333335,0.03666666666666667,92.37,04_data/raw/safetypool/seed_3/all_episode_results.csv,276833f5b71dfa4ab132c66a480db89eb7282b7d4187461b3150e083026132c1,original_23_seed_archive
5,epsilon,Epsilon-Greedy,300,158,166,1,0,23181,90.71464681749077,0.5266666666666666,6.81592683663345,0.9966666666666667,0.0033333333333333335,0.0,77.27,04_data/raw/baselines/seed_5/epsilon/all_episode_results.csv,6c748799c02c415b48699973c612dc4168b933cc37f30da9e004f48101f537fe,original_23_seed_archive
5,noisy,NoisyNet DQN,300,50,300,0,0,5218,253.63187361419068,0.16666666666666666,9.582215408202376,1.0,0.0,0.0,17.393333333333334,04_data/raw/baselines/seed_5/noisy/all_episode_results.csv,e75642995d46b5660802fffb166bfc640819aa0695401f094f454484ce8eef6d,original_23_seed_archive
5,rnd,DQN + RND,300,158,166,1,0,23240,90.80550062976799,0.5266666666666666,6.798623063683305,0.9966666666666667,0.0033333333333333335,0.0,77.46666666666667,04_data/raw/baselines/seed_5/rnd/all_episode_results.csv,5c092983733191d3271a7ee03b433ac94738c62db3ca431991f29ec4d9beb57c,original_23_seed_archive
5,safetypool,SafetyPool,300,29,248,0,37,63804,445.51546330003106,0.09666666666666666,0.4545169581844398,0.8766666666666667,0.0,0.12333333333333334,212.68,04_data/raw/safetypool/seed_5/all_episode_results.csv,35cc9912e39ae8870378c434bcd7f0827f22a26c9f84293bb2e860c7d8eb37b9,original_23_seed_archive
7,epsilon,Epsilon-Greedy,300,140,185,0,0,22760,92.51439539676609,0.4666666666666667,6.151142355008787,1.0,0.0,0.0,75.86666666666666,04_data/raw/baselines/seed_7/epsilon/all_episode_results.csv,4ade363adb79653acd23a4d5f75179aa083f892e2b8b5f4e81acbe8a6ceddda9,original_23_seed_archive
7,noisy,NoisyNet DQN,300,103,107,1,111,70440,329.5953917468404,0.3433333333333333,1.4622373651334468,0.6266666666666667,0.0033333333333333335,0.37,234.8,04_data/raw/baselines/seed_7/noisy/all_episode_results.csv,1f3fe4f40e3d7d743dbdf7d3ad5dbeb61213aef49373b7c95c612a130d3d52a6,original_23_seed_archive
7,rnd,DQN + RND,300,117,202,0,0,23458,99.17323350106055,0.39,4.9876374797510445,1.0,0.0,0.0,78.19333333333333,04_data/raw/baselines/seed_7/rnd/all_episode_results.csv,67c5ecfd84d20931e2b0b9b6fe020dcfec4a2a42905034fb5da7d40f221fb9c4,original_23_seed_archive
