environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,116,100116,7f6bb9b52674bdef995dd730ad6f3756560f3e792f14f7dda7becde398c90a1d,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,117,100117,54647d0d2290508391c97e3151f69964efe061c8eef0c561779634104758a8ae,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,118,100118,cb940693da3894828ca41a5c6e48fcba290e61aea19d8844b773f08e638356e4,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,119,100119,0f0479f32ca269cf14098fd30e4509ff90a100dfe5263232ae9e805300ae2f8b,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,120,100120,f93aea6640d2ebfbf6bb26a21bf5d05ce486b365c4572c6e0f83a6da2abb1507,True,12,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,121,100121,1b6a01d02184284cf1f7220f6b2282b00d64e6aaa827b2828586ef1432d4363d,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,122,100122,f3b4f02333d11250adbec74d3acfd081223c428c7d10a97d73b38ebae0264297,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,123,100123,bbba9c5e12d8f9773b25217607f092fcb1ffd1c32c1080efd141af9b13109307,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,124,100124,91ea90b53c494f4e53568aed3a14419decc728fa588dd744d6cf614cd161b240,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,125,100125,3ffae3b994b26dc1b8fc6828a3d2ea1059a51eb36dd3881a4dab56305c231dea,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,126,100126,9f7c1c03afdca178e53ecad398fab740c2d2f099ad9d7f872612c5a8ce5d1bb7,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,127,100127,0c0cd2301b00b37379e1e18a40b92b222a4c77bb28b1283c145f57f6edb29f40,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,128,100128,3328218220a53a7354a927026c387f392d5c18bca56f6fd18191673342ca2333,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,129,100129,4055704d0d87f10c8f4d26b33e94245974c31fef4cd7c0db457e45f7a58197e8,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,130,100130,363351bade240948bd79f95a74d1d005540850b101fdba623baad98714324ed7,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,131,100131,3650285939fef29ed2310fa88e04b90e5e33773d16353b74a4dd820e27349956,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,132,100132,c9591a8bfd649a9a1fe4d921357b9b1e987d5a1e7ff5ea5554347860ebb832c2,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,133,100133,a54a71cf92644105cb053e709d83f921785dfe8ff6f55463ace5eca3a6de2607,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,134,100134,967db3bc70ad5b40553d8e150ef49fc1aed0748328a9cd17529a155ff1aa576d,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,135,100135,e6158845e9345396434b6623c9b4ad56d981c65f7cbde80a13040e19da0e0673,True,11,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,136,100136,42b08d83681bd220d5ce1fe561427faa4510231263e6ee80845f2318a7c4f397,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,137,100137,c92fe974bcea34c1421ce7a07c732f90a5e5d56a48de70957831267f5c62bbf4,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,138,100138,c57b4d9e6d979db72c8f5ba2f95e86012a06d7aaa00bbaf41b6679404bf8bd31,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,139,100139,b1f43a7aabeeec4a6069bcf383f1dfc3b391216b18ee5fb590ae414f4ccfa7b1,True,15,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,140,100140,c1770fdf41dcb4a612fbb82e7233a9f3abe8fd51776565ff07082cb63f2737b4,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,141,100141,1fd1e789f6b40db8945fc6d6219eb36a352a1ca54867d46f596e767453863a33,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,142,100142,c5daa5ab1e6d2f991a4bc33e68bca31856b6fb569016dd7ed6961e5aa5bfa422,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,143,100143,37a87fdd5f91f7fcea1864a953f1b2cf23e52a51d48801b17f310c96ece29e54,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,144,100144,ad923ce169c81aea1e0f88453668a1e26180d4f3ada651bcf1b21fe484098acf,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,145,100145,4774078b07c6a8d8ec481a6847d1b84abb3b541b8c0323806c6467d9f8e3ae4d,True,10,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,146,100146,57f6778baaa7974824af44c1af6cd8f5be710fe12823fd0fb9bf8c4d113384a1,True,4,500,True,0
